(-0.0612566,1.05884)
(0.0750584,1.16382)
(-0.0531807,0.823003)
(-0.635957,0.360066)
(-1.09426,0.198253)
(-1.05016,0.235028)
(-0.922756,0.109043)
(-0.959843,-0.051235)
(-0.846144,-0.192149)
(-0.960194,-0.129477)
(-0.772687,0.0432776)
(0.322473,0.0048774)
(0.973642,-0.0253437)
(1.14968,0.142154)
(1.13016,0.144666)
(0.809421,0.0875828)
(0.838745,-0.0194145)
(1.06532,0.0466902)
(0.703228,0.0673731)
(-0.316659,-0.00288037)
(-1.17835,0.106827)
(-1.14762,0.0142214)
(-1.13465,-0.111473)
(-1.0224,-0.00267845)
(-0.99861,-0.118803)
(-1.03953,-0.14806)
(-0.8593,-0.0140976)
(-0.23554,0.632013)
(0.0614205,1.10847)
(-0.163179,0.8818)
(-0.0396932,0.925075)
(0.0199057,1.2851)
(-0.190068,0.964611)
(-0.199891,0.831747)
(-0.191571,0.892328)
(-0.0746903,0.907305)
(0.0608334,1.06644)
(-0.0969373,1.18648)
(0.0723437,0.9736)
(0.240343,0.947603)
(0.0751472,1.00507)
(0.187242,1.04884)
(0.234024,0.715469)
(0.538277,0.162517)
(0.870226,-0.118443)
(1.16968,-0.190667)
(1.08955,-0.203983)
(1.02997,0.0643101)
(1.1073,0.000747507)
(1.11313,-0.214591)
(0.817536,0.0567283)
(0.264652,0.760334)
(0.158428,0.998611)
(0.0690012,0.844414)
(-0.0460261,1.02993)
(-0.0038186,1.0475)
(0.0216629,1.08523)
(0.299477,0.983061)
(-0.12682,0.576084)
(-0.829882,0.139398)
(-1.2051,-0.0899917)
(-1.03172,-0.0374677)
(-1.03049,0.0940191)
(-1.04646,0.060451)
(-0.958788,-0.0196426)
(-1.02928,-0.136697)
(-1.12033,-0.231619)
(-1.00521,-0.123835)
(-0.894799,0.0315023)
(-0.977599,-0.00537298)
(-1.18288,-0.124711)
(-0.979402,-0.0769435)
(-0.823805,-0.00201141)
(-0.768987,0.0977125)
(-0.83876,0.214044)
(-0.787804,0.112425)
(-0.84297,0.109836)
(-0.883664,0.192794)
(-0.985389,0.195723)
(-1.10915,-0.0136573)
(-1.08636,-0.164675)
(-0.856343,0.105064)
(-0.826436,0.183494)
(-1.0314,-0.0533613)
(-1.14421,-0.0175018)
(-0.997141,0.218375)
(-1.02592,0.0266351)
(-1.02273,-0.0784326)
(-1.00884,-0.0503883)
(-0.961717,-0.160647)
(-0.910845,0.059974)
(-0.320456,0.835695)
(0.0116279,1.08142)
(-0.0653653,1.12866)
(-0.0680462,1.03422)
(-0.0570049,0.854753)
(0.0239081,0.92132)
(-0.0871928,1.02816)
(0.0983343,0.846765)
(0.870229,0.0132948)
(1.2179,-0.22464)
(1.03492,0.0294542)
(1.13629,-0.071687)
(1.0519,-0.0426036)
(1.10634,-0.0134803)
(1.19266,0.0049189)
(0.99002,-0.248689)
(0.296781,-0.646955)
(-0.0168427,-0.974605)
(0.036176,-0.852063)
(-0.0808435,-0.932299)
(-0.140287,-1.11953)
(0.13835,-0.997787)
(0.191798,-0.959459)
(-0.118885,-0.939625)
(-0.0607423,-1.00338)
(0.102565,-1.42938)
(-0.0177899,-1.21028)
(-0.065792,-0.804862)
(0.0806667,-0.879854)
(0.151773,-0.935024)
(0.100019,-0.970006)
(-0.153151,-0.767162)
(-0.697072,-0.221342)
(-0.898019,0.00744031)
(-0.902629,-0.288742)
(-1.05622,-0.074723)
(-0.980193,0.111934)
(-0.9436,-0.0866508)
(-0.974674,0.0309262)
(-0.866331,0.0549634)
(-0.294368,-0.64489)
(0.110027,-1.10398)
(0.057055,-1.19157)
(0.0309428,-1.11243)
(-0.159243,-0.987829)
(-0.0833203,-0.959314)
(0.129491,-1.12743)
(-0.166821,-0.967761)
(-0.733863,-0.25169)
(-0.896191,0.0750951)
(-0.820664,-0.0983276)
(-1.17144,-0.135941)
(-1.12565,-0.0594439)
(-1.02993,-0.247426)
(-1.01997,-0.00537189)
(-0.621059,-0.102697)
(0.558688,-0.162348)
(1.1379,-0.047937)
(0.938865,-0.246307)
(1.02086,-0.213848)
(1.01934,-0.00188497)
(0.982181,-0.0199062)
(1.03827,-0.085427)
(1.03383,-0.0970004)
(1.16676,-0.0121924)
(1.23693,0.0350832)
(1.05659,0.0385808)
(0.872269,0.097946)
(1.01822,0.136015)
(1.1118,0.162937)
(0.907038,0.13605)
(0.665704,-0.14846)
(0.141491,-0.675644)
(-0.184005,-0.929793)
(-0.14859,-0.80156)
(0.0131707,-0.9385)
(0.0127839,-1.01484)
(-0.115909,-0.961735)
(0.0443313,-0.796159)
(0.0764197,-0.860488)
(0.0672568,-0.926899)
(0.0451054,-0.923515)
(-0.0615427,-0.90784)
(-0.176701,-0.868637)
(-0.0947116,-0.990504)
(0.137994,-1.10156)
(-0.0116828,-1.14399)
(-0.256035,-0.564158)
(-0.0514014,0.521055)
(0.146272,1.20952)
(0.0411134,1.15133)
(1.18535e-05,1.04459)
(-0.0997316,1.14823)
(-0.244098,1.13218)
(-0.228669,1.0912)
(-0.243369,1.02108)
(-0.702305,0.47935)
(-1.02765,0.125063)
(-0.969739,-0.166503)
(-1.05568,-0.169024)
(-1.06749,0.182685)
(-1.09773,-0.0197221)
(-1.29443,-0.139303)
(-0.681594,0.149688)
(0.448539,0.150084)
(0.939646,0.0974353)
(1.01307,0.0931123)
(0.866476,0.00814331)
(0.71999,-0.111407)
(0.88441,-0.0541792)
(1.01296,0.028422)
(0.671215,-0.0694306)
